"territorio histórico de origen";"territorio histórico de destino";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"C.A. de Euskadi";"C.A. de Euskadi";23085;20945;23904;25033;27806;28243;28148;31034;31810;31813;35102;37186;38934;41231;44522;46318;44995;44176;45372;47544;48779;48608;48796;50409;50238;49205;50369;52216;53255;50754
"C.A. de Euskadi";"Araba/Álava";2112;2036;2575;2545;2645;2845;2854;2798;2924;2664;3183;3688;3890;4000;4091;4385;4149;3994;4217;4299;4365;4429;4097;4146;4237;4338;4452;4549;4649;4997
"C.A. de Euskadi";"Bizkaia";13002;12118;13340;14165;15816;14664;16347;18090;18956;18956;20213;22459;23810;25547;26880;28091;27323;26957;27461;29116;29694;29104;29039;29432;29508;28824;29826;30615;31299;29489
"C.A. de Euskadi";"Gipuzkoa";7968;6791;7990;8322;9346;10733;8947;10147;9930;10193;11706;11039;11234;11684;13551;13842;13523;13225;13694;14129;14720;15075;15660;16831;16493;16043;16091;17052;17307;16268
"C.A. de Euskadi";"Afuera de la C. A. de Euskadi";14751;13668;14096;16179;16130;14356;14234;16585;17291;18383;20382;22304;25987;24743;24390;30641;29894;29941;31815;33425;32819;34589;-;31889;32555;31255;31136;32258;32838;30709
"Araba/Álava";"C.A. de Euskadi";1579;1400;1621;1956;2085;2230;2304;2567;2780;2623;3140;3311;3600;3656;3920;4097;3975;3847;4070;3986;4209;4436;4056;4043;4153;4133;4211;4391;4483;4833
"Araba/Álava";"Araba/Álava";920;835;1020;1215;1343;1529;1550;1627;1784;1605;1952;2194;2374;2468;2593;2850;2747;2546;2701;2705;2751;2851;2547;2462;2525;2624;2710;2805;2873;3228
"Araba/Álava";"Bizkaia";441;374;408;512;529;458;513;676;715;731;796;799;874;843;902;864;907;940;972;877;938;1015;987;1045;1116;1031;1008;1082;1107;999
"Araba/Álava";"Gipuzkoa";217;191;193;229;213;243;241;263;281;287;392;318;352;345;425;383;321;361;397;404;520;570;522;536;512;478;493;504;503;606
"Araba/Álava";"Afuera de la C. A. de Euskadi";1946;1741;1890;2185;2248;1223;2038;2570;2724;2663;2835;3469;4472;3992;4102;5081;4890;5304;4604;6590;5436;7421;6052;5437;5665;5423;5225;5416;5682;5389
"Bizkaia";"C.A. de Euskadi";13350;12720;13949;14546;16167;14657;16725;18163;19037;18931;20248;22411;23934;25616;27046;28332;27436;26938;27471;29334;30001;29438;29425;29695;29537;28739;29723;30620;31161;29573
"Bizkaia";"Araba/Álava";701;783;914;817;829;705;842;716;692;672;795;936;951;1039;1020;1042;950;1011;977;1104;1129;1078;1094;1094;1144;1097;1094;1112;1099;1115
"Bizkaia";"Bizkaia";11901;11277;12419;13033;14634;13323;15203;16688;17587;17403;18457;20634;22039;23715;25047;26331;25461;25013;25487;27159;27769;27121;27054;27180;27097;26375;27376;28182;28698;27166
"Bizkaia";"Gipuzkoa";748;660;616;695;704;628;679;759;758;856;996;841;944;862;979;959;1025;914;1007;1071;1103;1239;1277;1421;1296;1267;1253;1326;1364;1292
"Bizkaia";"Afuera de la C. A. de Euskadi";8101;7663;7622;9088;9113;7522;8267;9791;10024;11161;12547;13279;14856;14007;19666;16860;16361;15443;18119;18020;18352;18630;19414;16181;16562;15896;15592;16711;16305;15812
"Gipuzkoa";"C.A. de Euskadi";8155;6826;8334;8531;9554;11357;9119;10304;9993;10259;11714;11464;11400;11959;13556;13889;13584;13391;13831;14224;14569;14734;15315;16671;16548;16333;16435;17205;17611;16348
"Gipuzkoa";"Araba/Álava";491;418;641;513;473;611;463;455;448;387;436;558;565;493;478;493;452;437;539;490;485;500;456;590;568;617;648;632;677;654
"Gipuzkoa";"Bizkaia";660;467;512;620;653;883;630;725;655;822;960;1026;897;989;931;896;955;1004;1002;1080;987;968;998;1207;1295;1418;1442;1351;1494;1324
"Gipuzkoa";"Gipuzkoa";7003;5940;7181;7398;8429;9862;8027;9124;8891;9050;10318;9880;9938;10477;12147;12500;12177;11950;12290;12654;13097;13266;13861;14874;14685;14298;14345;15222;15440;14370
"Gipuzkoa";"Afuera de la C. A. de Euskadi";4703;4264;4584;4906;4769;5611;3929;4224;4542;4559;5000;5556;6659;6744;6672;8700;8643;9194;9092;8815;9031;8538;10477;10271;10328;9936;10319;10131;10851;9508
"De fuera de la C. A. de Euskadi";"C.A. de Euskadi";12140;9006;9554;10809;11316;11299;12496;14372;16103;22286;28243;28386;30851;32859;36646;42468;46729;44630;38368;38591;41011;34362;33987;35491;35917;40126;41861;46982;52306;35221
"De fuera de la C. A. de Euskadi";"Araba/Álava";2154;1613;1678;2033;2356;2416;2420;2648;3003;4266;5233;5649;5586;6585;6606;7297;8296;8302;7305;7355;7666;5714;6093;6660;6220;6897;7333;8128;8378;6024
"De fuera de la C. A. de Euskadi";"Bizkaia";5749;4456;4889;5338;5476;4386;6318;7607;8400;12019;15250;15378;17219;18179;19666;23527;24106;22793;20264;20391;22149;18029;16374;16525;17532;20216;20950;23735;27384;17479
"De fuera de la C. A. de Euskadi";"Gipuzkoa";4237;2937;2987;3438;3484;4497;3758;4117;4700;6001;7760;7359;8046;8095;10374;11644;14327;13535;10799;10845;11196;10619;11520;12306;12165;13013;13578;15119;16544;11718
